_id;condition;envCond;envNoise1;envNoise11;envNoise21;envNoise31;envNoise41;envNoise51;file;rating;timeSecQA;timeStampQA;trapQx;trapQxSF;user
5d650fc3847cf41565317642;c33;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;Ordentlich_CH_f2_s3_c33_BabbleNoise18dBSNR_IRS_EVRC-A_codecNS.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317643;c32;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s1_c32_IRS_EVRC-A.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317644;c43;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317645;c43;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317646;c45;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s4_c45_Skype_1xTor_acoustSend_-8dB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317647;c49;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s4_c49_Skype_1xTor_-16dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317648;c03;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s1_c03_Babble20dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317649;c07;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s3_c07_-46dBASL.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531764a;c02;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m1_s2_c02_Hoth12dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531764b;c02;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s2_c02_Hoth12dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531764c;c48;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f1_s3_c48_Skype_1xTor_-8dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531764d;c03;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s1_c03_Babble20dBSNR.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531764e;c48;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s3_c48_Skype_1xTor_-8dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf4156531764f;c49;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_m2_s4_c49_Skype_1xTor_-16dB_acoustRcv_scaled.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d650fc3847cf41565317650;c01;CSLvl0;99_1566903990844.webm;99_1566904040955.webm;99_1566904077957.webm;99_1566904119323.webm;99_1566904159148.webm;99_1566904199141.webm;CH_f2_s2_c01_SWB.48k.wav;5;286;2019-08-27T11:06:14.160Z;5;FAIL;99
5d66309626ca291d861aa8fb;c46;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f1_s2_c46_Skype_1xTor_acoustSend_+5dB.48k.wav;5;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa8fc;c33;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f2_s3_c33_BabbleNoise18dBSNR_IRS_EVRC-A_codecNS.48k.wav;3;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa8fd;c48;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m1_s3_c48_Skype_1xTor_-8dB_acoustRcv_scaled.48k.wav;3;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa8fe;c43;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;Ordentlich_CH_f1_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;3;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa8ff;c50;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f1_s4_c50_Skype_1xTor_clipped_acoustSend_scaled.48k.wav;5;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa900;c02;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m1_s2_c02_Hoth12dBSNR.48k.wav;5;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa901;c03;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m1_s1_c03_Babble20dBSNR.48k.wav;4;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa902;c45;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m1_s4_c45_Skype_1xTor_acoustSend_-8dB.48k.wav;5;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa903;c07;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f2_s3_c07_-46dBASL.48k.wav;4;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa904;c44;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f1_s1_c44_Skype_1xTor_acoustSend_-16dB.48k.wav;4;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa905;c44;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m2_s1_c44_Skype_1xTor_acoustSend_-16dB.48k.wav;4;878;2019-08-28T07:28:40.529Z;3;SUCCESS;1
5d66309626ca291d861aa906;c43;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;Ausgezeichnet_CH_m1_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;878;2019-08-28T07:28:40.529Z;5;SUCCESS;1
5d66309626ca291d861aa907;c03;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f2_s1_c03_Babble20dBSNR.48k.wav;3;878;2019-08-28T07:28:40.529Z;5;SUCCESS;1
5d66309626ca291d861aa908;c49;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m1_s4_c49_Skype_1xTor_-16dB_acoustRcv_scaled.48k.wav;3;878;2019-08-28T07:28:40.529Z;5;SUCCESS;1
5d66309626ca291d861aa909;c43;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_f2_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;878;2019-08-28T07:28:40.529Z;5;SUCCESS;1
5d66309626ca291d861aa90a;c43;CSLvl0;1_1566977366547.webm;1_1566977501414.webm;1_1566977626013.webm;1_1566977747730.webm;1_1566977873603.webm;1_1566977999367.webm;CH_m1_s3_c43_Skype_1xTor_acoustSend_scaled.48k.wav;5;878;2019-08-28T07:28:40.529Z;5;SUCCESS;1
